                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.41492,                0.25621,                0.93633,                0.99069,                0.98454,                 0.9947,                0.89552,                0.52848,                0.21821,                0.88488,              0.0089275,              0.0089275,              0.0089275
                     68,                0.41713,                0.25858,                0.93347,                0.99082,                0.98454,                 0.9947,                0.89541,                0.52804,                 0.2184,                0.88407,               0.008911,               0.008911,               0.008911
                     69,                 0.4148,                0.25796,                0.93455,                0.99128,                0.98449,                0.99472,                0.89562,                0.52775,                0.21839,                 0.8833,              0.0088945,              0.0088945,              0.0088945
                     70,                0.41236,                0.25806,                0.93433,                0.99084,                0.98454,                0.99471,                0.89646,                0.52743,                0.21835,                0.88272,               0.008878,               0.008878,               0.008878
                     71,                0.41539,                0.25737,                0.93227,                0.99128,                0.98418,                0.99471,                0.89694,                0.52709,                0.21822,                0.88187,              0.0088615,              0.0088615,              0.0088615
                     72,                0.41589,                0.25912,                0.93524,                0.99128,                0.98414,                0.99471,                0.89676,                0.52656,                0.21787,                0.88146,               0.008845,               0.008845,               0.008845
                     73,                0.41559,                0.25727,                0.93561,                0.99072,                0.98392,                0.99471,                0.89671,                0.52664,                0.21802,                0.88165,              0.0088285,              0.0088285,              0.0088285
                     74,                0.41346,                0.25656,                0.93266,                0.99066,                0.98398,                0.99471,                0.89667,                0.52626,                0.21796,                0.88162,               0.008812,               0.008812,               0.008812
                     75,                0.40985,                0.25308,                0.93217,                0.99095,                0.98392,                 0.9947,                0.89666,                0.52636,                0.21766,                0.88148,              0.0087955,              0.0087955,              0.0087955
                     76,                0.41165,                0.25684,                0.93151,                0.99121,                0.98392,                 0.9947,                0.89666,                0.52637,                0.21794,                0.88089,               0.008779,               0.008779,               0.008779
                     77,                0.41169,                0.25675,                0.93393,                0.99118,                0.98392,                 0.9947,                0.89624,                0.52614,                0.21744,                0.88069,              0.0087625,              0.0087625,              0.0087625
                     78,                0.40909,                0.25431,                0.93163,                0.99111,                0.98392,                 0.9947,                 0.8961,                0.52637,                0.21758,                0.88074,               0.008746,               0.008746,               0.008746
                     79,                0.41014,                0.25618,                0.93148,                0.99137,                0.98392,                 0.9947,                0.89601,                0.52661,                0.21723,                 0.8809,              0.0087295,              0.0087295,              0.0087295
                     80,                0.40726,                0.25013,                0.93523,                0.99134,                0.98392,                 0.9947,                0.89677,                0.52633,                0.21681,                0.88103,               0.008713,               0.008713,               0.008713
                     81,                0.40842,                0.25535,                0.93427,                 0.9911,                0.98392,                0.99468,                0.89734,                0.52639,                0.21749,                0.88122,              0.0086965,              0.0086965,              0.0086965
                     82,                0.40403,                0.25319,                 0.9311,                 0.9913,                0.98392,                0.99468,                0.89696,                0.52628,                0.21782,                0.88144,                0.00868,                0.00868,                0.00868
                     83,                0.40604,                0.25124,                 0.9314,                0.99137,                0.98392,                0.99467,                0.89672,                 0.5264,                0.21786,                0.88161,              0.0086635,              0.0086635,              0.0086635
                     84,                0.40811,                 0.2522,                0.93313,                 0.9915,                0.98392,                0.99467,                0.89689,                0.52637,                0.21829,                0.88172,               0.008647,               0.008647,               0.008647
                     85,                0.40472,                0.24973,                0.92864,                0.99189,                0.98383,                0.99468,                0.89604,                0.52655,                0.21846,                0.88226,              0.0086305,              0.0086305,              0.0086305
                     86,                0.40466,                0.24904,                0.93117,                0.99189,                0.98371,                0.99468,                0.89618,                0.52626,                0.21881,                 0.8822,               0.008614,               0.008614,               0.008614
                     87,                0.40203,                 0.2492,                0.92818,                 0.9915,                 0.9833,                0.99468,                0.89597,                0.52651,                0.21836,                0.88249,              0.0085975,              0.0085975,              0.0085975
                     88,                0.40483,                0.25108,                0.93029,                0.99149,                 0.9833,                0.99468,                0.89689,                0.52659,                0.21843,                0.88261,               0.008581,               0.008581,               0.008581
                     89,                0.40417,                0.25117,                0.92814,                0.99146,                 0.9833,                0.99468,                0.89714,                0.52684,                0.21755,                0.88295,              0.0085645,              0.0085645,              0.0085645
                     90,                0.40002,                0.24925,                0.92776,                0.99152,                 0.9833,                0.99468,                0.89723,                0.52678,                0.21781,                0.88286,               0.008548,               0.008548,               0.008548
                     91,                 0.4022,                0.24889,                0.92737,                 0.9915,                 0.9833,                0.99468,                0.89691,                0.52708,                0.21758,                0.88308,              0.0085315,              0.0085315,              0.0085315
